"filename", "language", "TypeScript", "SCSS", "Vue", "XML", "comment", "blank", "total"
"d:\sw\VUE\vue3\sn-blog\src\api\http\setBlog.ts", "TypeScript", 14, 0, 0, 0, 0, 2, 16
"d:\sw\VUE\vue3\sn-blog\src\api\http\snippetApi.ts", "TypeScript", 48, 0, 0, 0, 70, 10, 128
"d:\sw\VUE\vue3\sn-blog\src\api\http\snippetLabelApi.ts", "TypeScript", 30, 0, 0, 0, 28, 9, 67
"d:\sw\VUE\vue3\sn-blog\src\api\http\snippetTagApi.ts", "TypeScript", 30, 0, 0, 0, 37, 8, 75
"d:\sw\VUE\vue3\sn-blog\src\api\http\snippetTypeApi.ts", "TypeScript", 30, 0, 0, 0, 37, 8, 75
"d:\sw\VUE\vue3\sn-blog\src\api\http\user.ts", "TypeScript", 28, 0, 0, 0, 0, 4, 32
"d:\sw\VUE\vue3\sn-blog\src\api\http\usertalk.ts", "TypeScript", 14, 0, 0, 0, 0, 2, 16
"d:\sw\VUE\vue3\sn-blog\src\api\http\video.ts", "TypeScript", 29, 0, 0, 0, 26, 6, 61
"d:\sw\VUE\vue3\sn-blog\src\api\index.ts", "TypeScript", 47, 0, 0, 0, 3, 3, 53
"d:\sw\VUE\vue3\sn-blog\src\assets\svg\components\user.svg", "XML", 0, 0, 0, 1, 0, 1, 2
"d:\sw\VUE\vue3\sn-blog\src\assets\svg\components\user2.svg", "XML", 0, 0, 0, 1, 0, 1, 2
"d:\sw\VUE\vue3\sn-blog\src\assets\svg\page\p-xin.svg", "XML", 0, 0, 0, 10, 0, 1, 11
"d:\sw\VUE\vue3\sn-blog\src\components\c-aspin.vue", "Vue", 0, 0, 68, 0, 4, 16, 88
"d:\sw\VUE\vue3\sn-blog\src\components\c-backTop.vue", "Vue", 0, 0, 6, 0, 0, 1, 7
"d:\sw\VUE\vue3\sn-blog\src\components\c-bootom.vue", "Vue", 0, 0, 49, 0, 0, 4, 53
"d:\sw\VUE\vue3\sn-blog\src\components\c-footer.vue", "Vue", 0, 0, 15, 0, 4, 2, 21
"d:\sw\VUE\vue3\sn-blog\src\components\c-header.vue", "Vue", 0, 0, 216, 0, 1, 28, 245
"d:\sw\VUE\vue3\sn-blog\src\components\c-highlightText.vue", "Vue", 0, 0, 49, 0, 0, 4, 53
"d:\sw\VUE\vue3\sn-blog\src\components\c-home.vue", "Vue", 0, 0, 99, 0, 0, 9, 108
"d:\sw\VUE\vue3\sn-blog\src\components\c-mdContent.vue", "Vue", 0, 0, 81, 0, 0, 8, 89
"d:\sw\VUE\vue3\sn-blog\src\components\c-sidebar.vue", "Vue", 0, 0, 120, 0, 0, 12, 132
"d:\sw\VUE\vue3\sn-blog\src\components\c-statistics.vue", "Vue", 0, 0, 65, 0, 24, 8, 97
"d:\sw\VUE\vue3\sn-blog\src\components\c-time.vue", "Vue", 0, 0, 41, 0, 0, 3, 44
"d:\sw\VUE\vue3\sn-blog\src\components\modal\c-modal-dialog.vue", "Vue", 0, 0, 62, 0, 0, 10, 72
"d:\sw\VUE\vue3\sn-blog\src\components\modal\c-modal-search.vue", "Vue", 0, 0, 54, 0, 0, 9, 63
"d:\sw\VUE\vue3\sn-blog\src\components\sidebar\c-right-sidebar.vue", "Vue", 0, 0, 16, 0, 1, 4, 21
"d:\sw\VUE\vue3\sn-blog\src\components\sidebar\c-sidebar-container.vue", "Vue", 0, 0, 14, 0, 1, 3, 18
"d:\sw\VUE\vue3\sn-blog\src\design\methodCss.scss", "SCSS", 0, 114, 0, 0, 52, 35, 201
"d:\sw\VUE\vue3\sn-blog\src\env.d.ts", "TypeScript", 33, 0, 0, 0, 0, 2, 35
"d:\sw\VUE\vue3\sn-blog\src\hooks\commonly.ts", "TypeScript", 29, 0, 0, 0, 18, 4, 51
"d:\sw\VUE\vue3\sn-blog\src\hooks\data.ts", "TypeScript", 6, 0, 0, 0, 13, 2, 21
"d:\sw\VUE\vue3\sn-blog\src\hooks\routers.ts", "TypeScript", 37, 0, 0, 0, 20, 8, 65
"d:\sw\VUE\vue3\sn-blog\src\hooks\useRandom.ts", "TypeScript", 16, 0, 0, 0, 7, 3, 26
"d:\sw\VUE\vue3\sn-blog\src\main.ts", "TypeScript", 49, 0, 0, 0, 23, 12, 84
"d:\sw\VUE\vue3\sn-blog\src\router\data.ts", "TypeScript", 14, 0, 0, 0, 35, 3, 52
"d:\sw\VUE\vue3\sn-blog\src\router\index.ts", "TypeScript", 271, 0, 0, 0, 14, 6, 291
"d:\sw\VUE\vue3\sn-blog\src\store\pinia.ts", "TypeScript", 11, 0, 0, 0, 4, 2, 17
"d:\sw\VUE\vue3\sn-blog\src\utils\common\dethrottle.ts", "TypeScript", 23, 0, 0, 0, 10, 3, 36
"d:\sw\VUE\vue3\sn-blog\src\utils\common\directive.ts", "TypeScript", 67, 0, 0, 0, 7, 15, 89
"d:\sw\VUE\vue3\sn-blog\src\utils\common\tool.ts", "TypeScript", 24, 0, 0, 0, 15, 4, 43
"d:\sw\VUE\vue3\sn-blog\src\utils\common\useCurrentInstance.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"d:\sw\VUE\vue3\sn-blog\src\utils\http\axios.ts", "TypeScript", 104, 0, 0, 0, 16, 8, 128
"d:\sw\VUE\vue3\sn-blog\src\utils\http\funApi.ts", "TypeScript", 89, 0, 0, 0, 23, 9, 121
"d:\sw\VUE\vue3\sn-blog\src\utils\http\pending.ts", "TypeScript", 26, 0, 0, 0, 18, 2, 46
"d:\sw\VUE\vue3\sn-blog\src\utils\storage\storage.ts", "TypeScript", 30, 0, 0, 0, 19, 2, 51
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\ArticleAdd.vue", "Vue", 0, 0, 87, 0, 0, 5, 92
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\ArticleEdit.vue", "Vue", 0, 0, 79, 0, 0, 5, 84
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\ArticleTable.vue", "Vue", 0, 0, 116, 0, 0, 3, 119
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\data.ts", "TypeScript", 66, 0, 0, 0, 0, 6, 72
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\tag\ArticleTagTable.vue", "Vue", 0, 0, 72, 0, 0, 5, 77
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\tag\a-articleTag-add.vue", "Vue", 0, 0, 30, 0, 1, 2, 33
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\tag\a-articleTag-edit.vue", "Vue", 0, 0, 30, 0, 1, 2, 33
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\tag\data.ts", "TypeScript", 34, 0, 0, 0, 0, 3, 37
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\type\ArticleTypeTable.vue", "Vue", 0, 0, 72, 0, 0, 5, 77
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\type\a-articleType-add.vue", "Vue", 0, 0, 30, 0, 1, 2, 33
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\type\a-articleType-edit.vue", "Vue", 0, 0, 30, 0, 1, 2, 33
"d:\sw\VUE\vue3\sn-blog\src\views\admin\article\type\data.ts", "TypeScript", 34, 0, 0, 0, 0, 3, 37
"d:\sw\VUE\vue3\sn-blog\src\views\admin\data.ts", "TypeScript", 36, 0, 0, 0, 7, 4, 47
"d:\sw\VUE\vue3\sn-blog\src\views\admin\index.vue", "Vue", 0, 0, 150, 0, 9, 5, 164
"d:\sw\VUE\vue3\sn-blog\src\views\admin\login\Login.vue", "Vue", 0, 0, 92, 0, 0, 11, 103
"d:\sw\VUE\vue3\sn-blog\src\views\admin\navigation\NavAdd.vue", "Vue", 0, 0, 76, 0, 0, 8, 84
"d:\sw\VUE\vue3\sn-blog\src\views\admin\navigation\NavEdit.vue", "Vue", 0, 0, 87, 0, 0, 8, 95
"d:\sw\VUE\vue3\sn-blog\src\views\admin\navigation\NavigationTable.vue", "Vue", 0, 0, 110, 0, 0, 8, 118
"d:\sw\VUE\vue3\sn-blog\src\views\admin\navigation\data.ts", "TypeScript", 61, 0, 0, 0, 0, 4, 65
"d:\sw\VUE\vue3\sn-blog\src\views\admin\set\InterfaceTable.vue", "Vue", 0, 0, 199, 0, 0, 9, 208
"d:\sw\VUE\vue3\sn-blog\src\views\admin\set\data.ts", "TypeScript", 53, 0, 0, 0, 0, 3, 56
"d:\sw\VUE\vue3\sn-blog\src\views\admin\snippet\SnippetTable.vue", "Vue", 0, 0, 160, 0, 0, 11, 171
"d:\sw\VUE\vue3\sn-blog\src\views\admin\snippet\a-snippet-add.vue", "Vue", 0, 0, 82, 0, 0, 4, 86
"d:\sw\VUE\vue3\sn-blog\src\views\admin\snippet\a-snippet-edit.vue", "Vue", 0, 0, 82, 0, 0, 3, 85
"d:\sw\VUE\vue3\sn-blog\src\views\admin\snippet\data.ts", "TypeScript", 58, 0, 0, 0, 0, 4, 62
"d:\sw\VUE\vue3\sn-blog\src\views\admin\sql\SqlBackups.vue", "Vue", 0, 0, 15, 0, 0, 2, 17
"d:\sw\VUE\vue3\sn-blog\src\views\admin\user\UserEditModal.vue", "Vue", 0, 0, 66, 0, 0, 4, 70
"d:\sw\VUE\vue3\sn-blog\src\views\admin\user\UserTable.vue", "Vue", 0, 0, 100, 0, 0, 4, 104
"d:\sw\VUE\vue3\sn-blog\src\views\admin\user\data.ts", "TypeScript", 81, 0, 0, 0, 1, 3, 85
"d:\sw\VUE\vue3\sn-blog\src\views\admin\utils\data.ts", "TypeScript", 8, 0, 0, 0, 0, 1, 9
"d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\Article2Content.vue", "Vue", 0, 0, 45, 0, 0, 4, 49
"d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\Article2Search.vue", "Vue", 0, 0, 29, 0, 0, 3, 32
"d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\content\Article2ContentSide.vue", "Vue", 0, 0, 53, 0, 0, 8, 61
"d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\data.ts", "TypeScript", 2, 0, 0, 0, 0, 1, 3
"d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\sidebar\Article2SideLb.vue", "Vue", 0, 0, 62, 0, 0, 5, 67
"d:\sw\VUE\vue3\sn-blog\src\views\page\article2\data.ts", "TypeScript", 2, 0, 0, 0, 0, 2, 4
"d:\sw\VUE\vue3\sn-blog\src\views\page\article2\index.vue", "Vue", 0, 0, 44, 0, 0, 2, 46
"d:\sw\VUE\vue3\sn-blog\src\views\page\article\Index.vue", "Vue", 0, 0, 114, 0, 2, 7, 123
"d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\ArticleColumn.vue", "Vue", 0, 0, 125, 0, 0, 15, 140
"d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\ArticleContent.vue", "Vue", 0, 0, 97, 0, 0, 12, 109
"d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\content\mdContent.vue", "Vue", 0, 0, 19, 0, 0, 3, 22
"d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\sidebar\Annunciate.vue", "Vue", 0, 0, 23, 0, 0, 2, 25
"d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\sidebar\ArticleSideInput.vue", "Vue", 0, 0, 33, 0, 0, 2, 35
"d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\sidebar\ArticleSideSearch.vue", "Vue", 0, 0, 31, 0, 1, 3, 35
"d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\sidebar\Tool.vue", "Vue", 0, 0, 44, 0, 0, 4, 48
"d:\sw\VUE\vue3\sn-blog\src\views\page\article\data.ts", "TypeScript", 3, 0, 0, 0, 0, 2, 5
"d:\sw\VUE\vue3\sn-blog\src\views\page\book\BookIndex.vue", "Vue", 0, 0, 108, 0, 0, 14, 122
"d:\sw\VUE\vue3\sn-blog\src\views\page\book\components\BookBar.vue", "Vue", 0, 0, 13, 0, 0, 2, 15
"d:\sw\VUE\vue3\sn-blog\src\views\page\book\components\BookFilm.vue", "Vue", 0, 0, 27, 0, 0, 3, 30
"d:\sw\VUE\vue3\sn-blog\src\views\page\book\index.scss", "SCSS", 0, 43, 0, 0, 13, 18, 74
"d:\sw\VUE\vue3\sn-blog\src\views\page\leave\Leave.vue", "Vue", 0, 0, 235, 0, 0, 49, 284
"d:\sw\VUE\vue3\sn-blog\src\views\page\listContent\ListContent.vue", "Vue", 0, 0, 90, 0, 0, 14, 104
"d:\sw\VUE\vue3\sn-blog\src\views\page\navigation\BlogCircles.vue", "Vue", 0, 0, 100, 0, 1, 19, 120
"d:\sw\VUE\vue3\sn-blog\src\views\page\navigation\BlogCirclesSide.vue", "Vue", 0, 0, 87, 0, 2, 21, 110
"d:\sw\VUE\vue3\sn-blog\src\views\page\navigation\Favorite.vue", "Vue", 0, 0, 160, 0, 1, 26, 187
"d:\sw\VUE\vue3\sn-blog\src\views\page\one\OneSidebar.vue", "Vue", 0, 0, 41, 0, 0, 8, 49
"d:\sw\VUE\vue3\sn-blog\src\views\page\one\components\OneCategory.vue", "Vue", 0, 0, 48, 0, 0, 5, 53
"d:\sw\VUE\vue3\sn-blog\src\views\page\one\components\OneContent.vue", "Vue", 0, 0, 74, 0, 0, 11, 85
"d:\sw\VUE\vue3\sn-blog\src\views\page\one\components\OneSidetype.vue", "Vue", 0, 0, 129, 0, 0, 7, 136
"d:\sw\VUE\vue3\sn-blog\src\views\page\one\components\OneTop.vue", "Vue", 0, 0, 72, 0, 0, 9, 81
"d:\sw\VUE\vue3\sn-blog\src\views\page\one\data\index.ts", "TypeScript", 53, 0, 0, 0, 0, 8, 61
"d:\sw\VUE\vue3\sn-blog\src\views\page\one\index.vue", "Vue", 0, 0, 42, 0, 0, 7, 49
"d:\sw\VUE\vue3\sn-blog\src\views\page\photo\PhotoIndex.vue", "Vue", 0, 0, 247, 0, 1, 47, 295
"d:\sw\VUE\vue3\sn-blog\src\views\page\snippet\SnippetContent.vue", "Vue", 0, 0, 160, 0, 0, 20, 180
"d:\sw\VUE\vue3\sn-blog\src\views\page\snippet\SnippetEdit.vue", "Vue", 0, 0, 73, 0, 0, 5, 78
"d:\sw\VUE\vue3\sn-blog\src\views\page\snippet\modal-snippet.vue", "Vue", 0, 0, 58, 0, 0, 8, 66
"d:\sw\VUE\vue3\sn-blog\src\views\page\video\components\VideoContent.vue", "Vue", 0, 0, 82, 0, 0, 13, 95
"d:\sw\VUE\vue3\sn-blog\src\views\page\video\components\VideoPlay.vue", "Vue", 0, 0, 63, 0, 0, 12, 75
"d:\sw\VUE\vue3\sn-blog\src\views\page\video\components\VideoPlaySide.vue", "Vue", 0, 0, 84, 0, 0, 15, 99
"d:\sw\VUE\vue3\sn-blog\src\views\page\video\components\VideoSidebar.vue", "Vue", 0, 0, 36, 0, 0, 6, 42
"d:\sw\VUE\vue3\sn-blog\src\views\page\video\data\data.ts", "TypeScript", 15, 0, 0, 0, 0, 2, 17
"d:\sw\VUE\vue3\sn-blog\src\views\page\video\data\index.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"d:\sw\VUE\vue3\sn-blog\src\views\page\video\index.vue", "Vue", 0, 0, 30, 0, 0, 7, 37
"Total", "-", 2266, 157, 5533, 12, 811, 962, 9741
